smiles,gene
CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,3258
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,40
[Ca+2],2080
C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,3170
CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,147
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,23
[Ca+2],2736
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,151
CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,57
C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,103
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,91
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,71
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,37
[Ca+2],2690
CC(=O)NC1=CC=C(C=C1)O,3031
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,145
CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,156
CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,87
[Ca+2],2931
C[N+]1=CC=CC(=C1)OC(=O)N(C)C,2367
C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,94
[Ca+2],2163
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,70
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,55
CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,81
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,3307
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,9
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,103
CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,121
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,111
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,56
[Ca+2],2238
[Ca+2],1367
[Ca+2],2400
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,137
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,3507
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,76
[Ca+2],2269
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,67
CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,5
CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,1537
C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,3370
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,123
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3606
CC(CC1=CC=CC=C1)NC,108
[Ca+2],386
[Ca+2],973
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,99
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,3049
[Ca+2],1993
[Ca+2],541
CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,3101
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,56
CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,136
[Ca+2],2817
[Ca+2],2590
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,497
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,89
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,15
CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,180
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,43
CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,116
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,109
[Ca+2],2793
CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,0
[Ca+2],564
C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,157
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,3403
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,40
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,3065
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,31
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,137
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,37
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,38
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,146
CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,156
[Ca+2],1404
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,132
[Ca+2],549
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,137
CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,23
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,103
[Ca+2],2774
CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,28
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,13
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,60
[Ca+2],2623
CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,43
[Ca+2],2374
CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,3137
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,19
[Ca+2],2559
CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,3212
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,129
CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,69
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,64
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,128
[Ca+2],277
CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,133
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,101
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,83
COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,10
C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,95
[Ca+2],2148
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,19
CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,106
[Ca+2],1936
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,144
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,112
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,1610
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,59
[Ca+2],795
CC(=O)OC1=CC=CC=C1C(=O)O,3032
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,77
CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,31
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,91
CC(=O)NC1=CC=C(C=C1)O,3023
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,75
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,100
C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,109
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,23
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,30
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,79
C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,53
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,37
CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,2921
CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,79
CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,13
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,16
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,23
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,156
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,115
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,3060
C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,3187
[Ca+2],972
C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,77
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,29
[Ca+2],2307
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,101
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,70
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,61
[Ca+2],2095
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,84
CN(C)C(=O)C(CC[NH+]1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,22
CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,3088
CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,137
[Ca+2],1710
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,22
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,48
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,3
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,30
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,90
CN1CCCC1C2=CN=CC=C2,3371
C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,30
CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,138
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,20
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,77
[Ca+2],429
CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,89
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,88
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,3054
C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,139
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,86
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,24
C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,65
C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,3059
C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,39
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,3506
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,98
[Ca+2],1584
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,3097
CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,122
[Ca+2],1933
CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,7
CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,2159
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,12
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,3333
[Ca+2],2070
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,137
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,16
C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,29
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,150
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,8
[Ca+2],1498
CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,86
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,3084
CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,3169
CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,3327
CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,38
[Ca+2],2077
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,96
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,47
CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,84
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,179
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,178
C[N+](C)(C)CCOC(=O)N,3423
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,140
CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,94
CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,27
[Ca+2],2776
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,24
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,11
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,72
[Ca+2],441
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,25
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,114
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,3066
[Ca+2],201
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,3048
CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,31
CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,3370
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,94
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,1080
COC(=O)C(C1CCCCN1)C2=CC=CC=C2,3062
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,109
[Ca+2],1423
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,3131
[Ca+2],2792
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,113
C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,23
[Ca+2],966
[Ca+2],643
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,156
[Ca+2],2245
CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,12
CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O,39
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,112
[Ca+2],1749
CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,2270
[Ca+2],1543
CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,19
CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,44
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,129
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,97
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,50
CC(CC1=CC=C(C=C1)OC)NCC(C2=CC(=C(C=C2)O)NC=O)O,128
[Ca+2],899
[Ca+2],592
CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,132
CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,118
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,118
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,145
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,139
CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,148
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,97
CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,3101
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,107
[Ca+2],1104
C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,797
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,116
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,41
[Ca+2],2482
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,105
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,115
CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,6
[Ca+2],1493
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,134
CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,142
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,68
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,3185
[Ca+2],1136
CN(C)C(=O)C(CC[NH+]1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,3
C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,571
CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O,151
CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,90
[Ca+2],2479
CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,95
CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,1774
CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O,21
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,96
[Ca+2],1240
[Ca+2],659
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,96
[Ca+2],2807
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,46
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,3056
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,107
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,37
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,106
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,143
CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,110
C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,106
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,18
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,62
C[N+](C)(C)CCOC(=O)N,3013
CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,2
CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,11
CC1=C(C(C(=C(N1)C)C(=O)OCC[NH+](C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,3409
